TICKER,EX_DIVIDEND,DATE_PAYEMENT,VALUE
GLO,2023-07-03,2023-07-05,"0,35"
GLO,2019-07-01,2019-07-03,"0,65"
GLO,2018-06-13,2018-07-04,"0,65"
GLO,2017-06-30,2017-07-04,"0,65"
GLO,2016-05-26,2016-07-04,"0,6"
GRVO,2022-03-29,2022-03-31,"2,0"
GRVO,2020-03-24,2020-03-26,"7,0"
GRVO,2019-03-27,2019-03-29,"6,0"
GRVO,2018-06-27,2018-06-29,"4,0"
GRVO,2013-06-26,2013-07-01,"0,64"
GTT,2023-12-12,2023-12-14,"1,85"
GTT,2023-06-12,2023-06-14,"1,55"
GTT,2022-12-13,2022-12-15,"1,55"
GTT,2022-06-06,2022-06-08,"1,75"
GTT,2021-11-03,2021-11-05,"1,35"
GUI,2023-06-07,2023-06-09,"0,25"
GUI,2022-06-15,2022-06-17,"0,25"
GUI,2021-06-16,2021-06-18,"0,25"
GUI,2019-07-08,2019-07-10,"0,13"
HCO,2023-05-24,2023-05-26,"0,4"
HCO,2022-05-19,2022-05-23,"0,32"
HCO,2021-05-20,2021-05-24,"0,27"
HCO,2019-05-24,2019-05-28,"0,16"
HCO,2018-06-01,2018-06-05,"0,14"
HO,2023-12-05,2023-12-07,"0,8"
HO,2023-05-23,2023-05-25,"2,24"
HO,2022-12-06,2022-12-08,"0,7"
HO,2022-05-17,2022-05-19,"1,96"
HO,2021-12-07,2021-12-09,"0,6"
ICAD,2024-03-04,2024-03-06,"2,41"
ICAD,2023-07-04,2023-07-06,"1,66"
ICAD,2023-07-03,2023-07-06,"0,51"
ICAD,2023-02-28,2023-03-02,"2,16"
ICAD,2022-07-04,2022-07-06,"0,91"
IPN,2023-06-02,2023-06-06,"1,2"
IPN,2022-05-31,2022-06-02,"1,2"
IPN,2021-05-28,2021-06-02,"1,0"
IPN,2020-06-03,2020-06-05,"1,0"
IPN,2019-05-31,2019-06-04,"1,0"
IPS,2023-07-03,2023-07-05,"1,35"
IPS,2022-07-01,2022-07-05,"1,15"
IPS,2021-07-01,2021-07-05,"0,9"
IPS,2020-07-01,2020-07-03,"0,45"
IPS,2019-07-01,2019-07-03,"0,88"
ITP,2023-05-11,2023-05-15,"1,05"
ITP,2022-05-16,2022-05-18,"0,94"
ITP,2021-05-03,2021-05-05,"0,55"
ITP,2019-05-02,2019-05-06,"0,71"
ITP,2018-05-09,2018-05-11,"0,67"
JCQ,2023-07-05,2023-07-07,"1,0"
JCQ,2022-06-30,2022-07-04,"1,0"
JCQ,2021-06-29,2021-07-01,"0,4"
JCQ,2020-06-30,2020-07-02,"0,2"
JCQ,2019-07-02,2019-07-04,"0,7"
KER,2024-01-12,2024-01-17,"4,5"
KER,2023-05-02,2023-05-04,"9,5"
KER,2023-01-13,2023-01-18,"4,5"
KER,2022-05-03,2022-05-05,"8,5"
KER,2022-01-13,2022-01-17,"3,5"
KOF,2023-05-09,2023-05-11,"2,4"
KOF,2022-06-01,2022-06-03,"1,95"
KOF,2021-06-02,2021-06-04,"1,85"
KOF,2020-06-08,2020-06-10,"1,75"
KOF,2019-05-15,2019-06-14,"2,5"
LACR,2023-07-11,2023-07-13,"0,8"
LACR,2022-07-08,2022-07-12,"0,85"
LACR,2021-07-09,2021-07-13,"0,68"
LACR,2020-04-14,2020-04-16,"0,9"
LACR,2019-04-11,2019-04-15,"0,72"
LAT,2008-06-25,2008-06-30,"0,5"
LAT,2007-06-29,2007-06-29,"0,75"
LAT,2006-06-30,2006-06-30,"0,95"
LAT,2005-06-30,2005-06-30,"0,31"
LAT,2004-06-30,2004-06-30,"0,37"
LI,2024-03-22,2024-03-26,"0,9"
LI,2023-07-07,2023-07-11,"0,84"
LI,2023-03-28,2023-03-30,"0,87"
LI,2022-05-12,2022-05-16,"1,7"
LIN,2023-07-05,2023-07-07,"1,75"
LIN,2022-07-06,2022-07-08,"1,6"
LIN,2021-07-06,2021-07-08,"1,35"
LIN,2020-07-06,2020-07-08,"0,95"
LIN,2019-07-05,2019-07-09,"1,35"
LNA,2023-07-06,2023-07-10,"0,5"
LNA,2022-07-07,2022-07-11,"0,43"
LNA,2021-07-07,2021-07-09,"0,2"
LNA,2020-07-08,2020-07-10,"0,45"
LNA,2019-07-08,2019-07-10,"0,38"
LOCAL,2011-06-20,2011-06-23,"0,58"
LOCAL,2010-06-21,2010-06-24,"0,65"
LOCAL,2009-06-18,2009-06-23,"0,96"
LOCAL,2008-05-09,2008-05-14,"0,96"
LOCAL,2007-05-04,2007-05-04,"1,08"
LR,2023-06-02,2023-06-06,"1,9"
LR,2022-05-27,2022-06-01,"1,65"
LR,2021-05-28,2021-06-01,"1,42"
LR,2020-06-01,2020-06-03,"1,34"
LR,2019-06-03,2019-06-05,"0,55"
MAU,2023-07-03,2023-07-05,"0,23"
MAU,2022-07-01,2022-07-05,"0,14"
MAU,2019-06-17,2019-06-19,"0,04"
MAU,2013-06-21,2013-06-26,"0,4"
MAU,2012-06-21,2012-06-26,"0,4"
MC,2023-12-04,2023-12-06,"5,5"
MC,2023-04-25,2023-04-27,"7,0"
MC,2022-12-01,2022-12-05,"5,0"
MC,2022-04-26,2022-04-28,"7,0"
MC,2021-11-30,2021-12-02,"3,0"
MDM,2023-07-05,2023-07-07,"0,3"
MDM,2022-06-08,2022-06-10,"0,55"
MDM,2021-07-02,2021-07-07,"0,3"
MDM,2019-07-02,2019-07-04,"0,47"
MDM,2018-06-18,2018-06-20,"0,44"
MERY,2023-05-02,2023-05-04,"0,96"
MERY,2022-05-03,2022-05-05,"0,92"
MERY,2021-04-29,2021-05-21,"0,43"
MERY,2020-04-27,2020-04-29,"0,48"
MERY,2019-10-21,2019-10-23,"0,47"
MF,2023-06-16,2023-06-21,"3,2"
MF,2022-06-17,2022-06-22,"3,0"
MF,2021-07-01,2021-07-05,"2,9"
MF,2020-07-07,2020-07-09,"2,8"
MF,2019-05-21,2019-05-23,"2,8"
MHM,2008-06-05,2008-06-25,"0,01"
MHM,2005-07-29,N/A,"1,0"
ML,2023-05-17,2023-05-19,"1,25"
ML,2022-05-17,2022-05-19,"1,13"
ML,2021-05-25,2021-05-27,"0,58"
